Día,Capacidad promedio realizada MW,Central,Capacidad promedio prevista MW
23/01/2006,29.5,NCTP1 ,29.5
24/01/2006,29.5,NCTP1 ,29.5
25/01/2006,29.5,NCTP1 ,29.5
26/01/2006,29.5,NCTP1 ,29.5
27/01/2006,29.5,NCTP1 ,29.5
28/01/2006,29.5,NCTP1 ,29.5
29/01/2006,29.5,NCTP1 ,29.5
30/01/2006,29.5,NCTP1 ,29.5
31/01/2006,29.5,NCTP1 ,29.5
01/01/2006,101.73299999999999,VADP1 ,101.0
02/01/2006,103.584,VADP1 ,101.0
03/01/2006,101.85799999999999,VADP1 ,101.0
04/01/2006,103.348,VADP1 ,101.0
05/01/2006,100.964,VADP1 ,101.0
06/01/2006,76.75,VADP1 ,101.0
07/01/2006,101.0,VADP1 ,101.0
08/01/2006,101.0,VADP1 ,101.0
09/01/2006,112.262,VADP1 ,176.825
10/01/2006,217.857,VADP1 ,202.1
11/01/2006,209.78799999999998,VADP1 ,202.1
12/01/2006,179.696,VADP1 ,202.1
13/01/2006,215.301,VADP1 ,202.1
14/01/2006,153.711,VADP1 ,202.1
15/01/2006,197.678,VADP1 ,202.1
16/01/2006,180.31799999999998,VADP1 ,101.0
17/01/2006,216.04,VADP1 ,202.1
18/01/2006,140.583,VADP1 ,202.1
19/01/2006,210.52200000000002,VADP1 ,202.1
20/01/2006,216.69400000000002,VADP1 ,202.1
21/01/2006,182.238,VADP1 ,202.1
22/01/2006,144.928,VADP1 ,202.1
23/01/2006,186.87099999999998,VADP1 ,202.1
24/01/2006,115.633,VADP1 ,202.1
25/01/2006,95.656,VADP1 ,101.0
26/01/2006,111.634,VADP1 ,101.0
27/01/2006,104.37899999999999,VADP1 ,134.7
28/01/2006,114.665,VADP1 ,134.7
29/01/2006,117.515,VADP1 ,134.7
30/01/2006,115.31200000000001,VADP1 ,134.7
31/01/2006,102.155,VADP1 ,134.7
